crop_name,temperature,rainfall,soil_ph,market_demand
Rice,12,61,5.0,7
Sorghum,14,153,7.5,7
Peanut,16,157,5.8,6
Barley,25,263,5.3,9
Rice,20,92,6.8,5
Sugarcane,25,54,6.3,3
Cotton,21,133,6.2,5
Sorghum,13,206,7.4,7
Sugarcane,15,294,6.3,6
Millet,31,70,5.0,8
Sorghum,32,143,5.9,1
Cotton,39,239,5.6,9
Soybean,34,243,6.7,3
Barley,25,86,7.0,5
Peanut,29,295,7.5,8
Wheat,34,115,5.5,5
Wheat,36,157,6.1,5
Cotton,37,241,5.7,3
Millet,15,222,6.7,6
Maize,30,134,7.0,5
Sorghum,11,67,6.0,8
Maize,12,277,5.6,9
Peanut,21,80,6.4,4
Wheat,19,82,5.6,8
Peanut,23,193,5.6,9
Millet,35,234,6.3,7
Soybean,10,103,7.0,1
Barley,23,225,5.1,7
Sugarcane,12,109,5.7,5
Barley,34,190,5.6,8
Maize,19,131,5.4,8
Cotton,12,259,7.0,7
Barley,13,294,5.5,5
Soybean,28,193,6.0,9
Maize,16,280,5.5,7
Sugarcane,32,213,5.1,9
Peanut,26,145,5.1,3
Barley,21,281,5.6,7
Millet,28,236,5.4,5
Soybean,21,155,7.2,3
Sugarcane,30,249,6.1,8
Wheat,19,260,5.5,5
Sorghum,15,237,6.7,5
Sorghum,28,137,7.3,2
Barley,21,283,6.4,5
Millet,33,54,6.1,7
Peanut,35,147,5.3,4
Rice,34,56,5.6,4
Peanut,27,296,6.1,8
Maize,21,186,6.6,8
Cotton,27,280,6.4,4
Peanut,12,95,7.2,7
Barley,10,51,5.7,2
Millet,29,270,7.1,5
Sugarcane,17,263,5.5,8
Rice,37,75,6.2,4
Sugarcane,35,259,5.2,3
Millet,29,204,7.4,4
Soybean,17,211,7.4,7
Soybean,33,117,6.4,8
Soybean,33,103,6.0,7
Rice,39,201,5.7,7
Millet,27,284,5.8,5
Rice,16,261,6.6,2
Peanut,15,109,5.2,6
Cotton,27,154,5.6,6
Sugarcane,10,86,7.4,5
Barley,17,69,6.2,4
Maize,17,77,7.2,8
Rice,38,119,6.2,8
Soybean,29,94,5.9,4
Millet,30,252,7.0,1
Sorghum,21,295,7.1,5
Peanut,34,275,6.0,9
Rice,13,285,6.6,9
Barley,11,154,6.6,1
Barley,14,257,7.0,7
Barley,22,144,7.0,9
Millet,25,173,6.8,8
Sorghum,27,77,6.4,2
Sugarcane,13,192,7.3,3
Sorghum,15,78,7.0,5
Peanut,30,297,6.5,5
Sugarcane,12,82,7.2,6
Sorghum,16,136,5.1,8
Sorghum,38,124,5.8,2
Soybean,20,248,5.3,8
Barley,20,126,5.9,1
Cotton,21,120,6.4,5
Wheat,16,103,5.8,8
Barley,22,270,7.5,5
Soybean,12,102,6.6,5
Soybean,37,138,5.0,4
Maize,29,268,7.4,1
Soybean,32,143,6.1,7
Sugarcane,17,157,7.1,7
Maize,26,79,6.7,1
Cotton,25,262,6.8,4
Sugarcane,18,226,5.1,5
Millet,12,263,5.5,7
Peanut,25,172,5.4,3
Wheat,19,172,7.4,2
Barley,25,165,5.3,9
Sorghum,28,222,6.1,4
Soybean,25,270,6.1,9
Millet,10,84,6.6,8
Rice,32,163,5.7,4
Rice,25,177,7.0,6
Rice,24,65,6.0,1
Barley,39,157,6.4,1
Wheat,15,113,6.6,5
Maize,22,86,6.0,3
Soybean,28,233,6.0,4
Maize,10,52,5.8,4
Millet,14,298,7.0,2
Soybean,25,114,6.2,3
Soybean,14,204,6.4,5
Peanut,12,213,6.1,5
Soybean,23,292,6.1,4
Millet,11,197,6.8,9
Sugarcane,28,112,6.6,6
Soybean,36,298,7.4,6
Rice,32,119,5.4,5
Soybean,29,271,6.5,1
Rice,12,231,7.0,1
Maize,38,290,7.5,3
Cotton,15,159,6.0,7
Peanut,31,216,7.5,7
Cotton,33,57,6.1,1
Sugarcane,16,107,6.3,8
Millet,15,145,5.6,8
Soybean,31,192,6.5,4
Peanut,23,146,6.9,6
Peanut,21,99,6.2,8
Sugarcane,36,120,5.4,9
Sorghum,21,275,6.7,2
Cotton,19,191,6.0,9
Wheat,28,284,6.6,7
Barley,21,114,5.5,2
Cotton,33,222,6.3,5
Wheat,34,66,7.0,6
Sorghum,22,69,6.4,3
Millet,19,81,7.2,6
Wheat,22,283,6.9,6
Sorghum,27,237,7.5,8
Maize,17,142,7.1,8
Millet,10,155,7.1,6
Maize,22,289,6.0,9
Rice,14,223,6.7,2
Rice,30,180,7.0,2
Soybean,36,294,7.4,7
Barley,23,84,7.1,9
Maize,31,108,7.5,9
Barley,24,161,5.7,1
Sorghum,21,130,7.3,9
Millet,10,205,5.2,2
Soybean,25,270,7.3,1
Rice,32,154,6.4,7
Cotton,32,223,7.3,1
Peanut,32,169,6.1,9
Sugarcane,11,187,7.2,4
Rice,35,292,7.3,4
Maize,22,252,5.6,4
Maize,11,160,6.1,8
Sorghum,26,228,5.9,5
Sugarcane,28,223,6.2,3
Sugarcane,14,275,6.7,9
Cotton,14,114,6.4,2
Barley,16,153,5.3,4
Soybean,19,69,6.5,8
Maize,11,237,5.6,2
Sugarcane,14,186,6.4,6
Soybean,34,182,5.9,3
Maize,13,156,6.3,8
Barley,23,217,5.7,5
Sugarcane,26,139,5.3,8
Maize,29,270,6.9,1
Maize,34,134,5.7,8
Peanut,35,144,5.5,3
Barley,23,263,6.7,6
Wheat,22,62,6.4,4
Peanut,17,260,5.3,4
Wheat,23,53,7.4,8
Maize,15,286,6.9,1
Cotton,10,163,7.4,3
Barley,25,128,7.2,8
Peanut,10,267,5.3,8
Soybean,15,121,5.8,6
Millet,11,135,5.0,9
Sorghum,16,223,5.8,6
Millet,30,236,5.3,2
Soybean,21,272,6.0,3
Rice,20,127,5.4,3
Maize,23,89,5.1,9
Maize,37,207,7.5,9
Maize,14,50,6.1,1
Peanut,25,253,5.1,5
Barley,35,80,6.3,8
Sorghum,35,274,6.7,2
Rice,15,109,7.1,3
Maize,31,137,7.4,8
Millet,13,153,6.6,5
Barley,11,199,5.2,7
Barley,39,220,7.4,1
Millet,10,76,5.3,4
Peanut,29,91,5.8,4
Sugarcane,33,172,6.2,2
Maize,28,206,7.4,2
Sugarcane,10,223,7.3,8
Soybean,18,110,5.3,3
Sorghum,19,218,7.2,2
Cotton,10,298,6.5,2
Cotton,11,156,5.8,4
Peanut,11,55,5.7,5
Sugarcane,20,69,6.2,5
Maize,22,69,6.0,6
Sugarcane,30,94,6.0,6
Rice,37,138,6.1,2
Millet,33,63,6.9,3
Sorghum,17,102,7.2,9
Peanut,25,186,6.4,1
Soybean,32,126,5.3,6
Wheat,37,252,6.9,8
Cotton,29,269,6.3,8
Millet,32,109,5.9,4
Rice,13,236,6.9,4
Sorghum,29,288,6.8,4
Wheat,33,64,5.2,9
Sugarcane,21,295,6.4,1
Sorghum,19,173,6.7,5
Soybean,12,257,7.0,3
Rice,19,282,7.0,9
Rice,20,155,7.2,6
Sugarcane,36,277,7.3,8
Millet,30,271,7.2,6
Barley,25,105,5.7,8
Cotton,38,194,6.2,2
Rice,38,156,6.5,5
Peanut,24,91,6.9,4
Sorghum,28,228,7.2,8
Rice,20,74,6.0,1
Cotton,37,85,7.0,2
Wheat,18,81,5.6,4
Peanut,27,281,7.2,1
Cotton,31,245,6.6,9
Soybean,25,113,5.8,7
Soybean,16,126,6.0,3
Maize,30,141,6.4,3
Barley,16,76,6.0,6
Millet,16,60,5.0,7
Maize,21,90,7.4,3
Peanut,26,78,6.8,3
Peanut,10,288,7.1,5
Cotton,35,85,6.3,6
Sugarcane,24,166,6.6,9
Rice,10,164,5.8,1
Wheat,18,161,5.2,2
Maize,29,290,5.9,6
Barley,18,202,6.8,9
Sugarcane,18,188,5.9,8
Rice,26,204,5.9,8
Peanut,14,134,6.5,7
Wheat,12,237,5.6,4
Wheat,32,229,6.6,5
Sugarcane,28,267,6.1,5
Barley,15,208,6.2,8
Wheat,35,138,5.2,5
Rice,31,282,5.3,6
Rice,28,296,6.7,9
Sugarcane,10,126,5.4,2
Peanut,36,210,7.4,3
Sugarcane,17,111,6.8,1
Millet,20,90,7.0,4
Peanut,19,137,5.4,7
Sugarcane,17,191,7.2,2
Peanut,34,150,7.4,5
Soybean,38,79,6.5,2
Cotton,18,278,6.9,1
Millet,28,121,5.1,7
Sorghum,22,123,5.1,1
Maize,32,169,6.2,9
Peanut,21,75,7.3,6
Sorghum,25,206,6.3,1
Millet,21,61,7.0,3
Sugarcane,26,270,5.6,3
Rice,24,127,5.4,2
Soybean,25,80,7.1,2
Maize,15,166,5.7,4
Barley,20,244,6.2,7
Sugarcane,26,184,5.3,2
Sorghum,19,73,7.0,9
Sugarcane,27,206,6.9,9
Millet,19,78,7.3,4
Maize,31,173,5.5,2
Peanut,24,245,7.4,2
Sugarcane,23,237,5.5,5
Barley,21,70,6.1,6
Maize,17,182,5.1,7
Wheat,33,216,6.8,1
Sugarcane,23,150,5.3,9
Millet,20,130,5.7,7
Cotton,37,113,5.8,8
Soybean,34,274,7.5,6
Barley,36,119,5.8,4
Maize,33,218,6.0,1
Rice,31,108,7.3,9
Millet,29,157,5.5,8
Wheat,21,86,5.5,8
Cotton,16,50,5.0,4
Wheat,28,128,7.0,5
Rice,34,105,5.9,5
Rice,14,158,6.5,4
Barley,30,90,7.4,1
Rice,38,152,6.0,7
Rice,11,239,6.4,3
Wheat,26,93,6.8,2
Millet,39,111,5.1,9
Peanut,35,229,5.2,1
Cotton,24,118,5.5,5
Sorghum,20,152,5.8,6
Wheat,16,203,6.2,3
Soybean,33,233,6.8,9
Sorghum,25,157,6.4,8
Wheat,14,220,6.1,7
Maize,33,161,7.1,7
Maize,20,269,5.4,8
Maize,15,255,7.2,4
Sugarcane,25,183,7.2,1
Sugarcane,36,76,5.7,9
Rice,12,121,6.2,6
Sorghum,37,245,6.7,2
Peanut,26,251,6.8,8
Rice,29,259,7.4,9
Barley,16,274,5.4,3
Peanut,27,166,6.6,9
Soybean,15,257,5.6,6
Sorghum,23,198,6.5,9
Cotton,19,122,7.4,9
Cotton,15,276,6.4,2
Wheat,34,292,6.8,7
Peanut,15,147,6.9,8
Barley,20,64,7.1,2
Cotton,17,156,6.5,4
Sorghum,27,263,5.7,1
Sorghum,23,228,5.9,6
Soybean,17,63,6.9,1
Sugarcane,19,229,5.4,1
Rice,37,88,6.4,6
Rice,17,54,6.6,2
Maize,14,230,7.0,1
Millet,27,179,6.7,8
Soybean,27,127,5.3,4
Peanut,37,136,7.0,6
Peanut,37,280,6.3,5
Wheat,34,203,7.1,6
Rice,27,239,5.2,4
Millet,12,187,6.1,8
Rice,33,150,5.7,6
Sugarcane,38,103,7.3,4
Wheat,28,83,5.5,4
Barley,17,117,7.1,4
Sugarcane,38,221,5.1,6
Millet,31,201,7.5,6
Peanut,24,117,6.3,5
Barley,23,195,7.3,8
Cotton,28,182,6.4,2
Barley,19,169,7.3,3
Sugarcane,27,206,6.5,7
Wheat,10,220,6.2,4
Wheat,12,274,5.5,1
Maize,27,254,5.2,8
Sorghum,12,148,7.0,8
Sorghum,38,73,5.6,3
Wheat,11,276,5.6,3
Millet,19,262,6.0,7
Rice,25,243,6.5,3
Peanut,27,126,5.0,5
Soybean,15,118,6.1,3
Barley,17,117,5.7,5
Maize,20,113,7.3,7
Maize,18,109,5.9,2
Cotton,36,84,6.2,2
Peanut,28,286,5.9,5
Cotton,14,186,5.1,4
Soybean,37,180,6.6,6
Millet,32,156,5.3,1
Millet,35,163,6.6,2
Peanut,30,187,6.1,5
Sugarcane,23,178,6.5,7
Barley,11,140,5.5,4
Sorghum,17,210,7.4,2
Rice,33,74,6.4,5
Maize,15,144,6.7,7
Wheat,15,235,7.5,4
Sugarcane,11,212,7.2,4
Rice,17,173,6.6,1
Sugarcane,27,150,5.4,1
Maize,25,115,5.8,3
Barley,25,243,6.3,6
Sugarcane,21,85,6.6,3
Maize,30,114,5.1,6
Maize,24,61,7.5,9
Maize,20,257,7.1,9
Rice,14,213,5.0,1
Peanut,32,170,6.8,8
Sorghum,37,173,5.5,7
Maize,17,207,5.1,4
Rice,35,178,7.1,1
Sorghum,33,72,6.2,2
Millet,34,114,7.3,8
Millet,34,194,6.2,3
Soybean,39,60,6.8,5
Barley,34,290,6.2,9
Maize,29,197,5.9,5
Cotton,12,258,6.1,9
Barley,28,147,5.2,5
Wheat,36,271,5.3,7
Cotton,28,184,7.4,4
Sugarcane,27,101,6.0,9
Sugarcane,27,254,5.9,4
Wheat,14,286,5.8,5
Sugarcane,13,216,7.2,9
Cotton,32,259,5.9,9
Barley,24,153,6.3,5
Peanut,23,263,5.1,3
Rice,18,174,6.8,9
Barley,28,104,5.4,5
Maize,14,141,5.4,9
Sugarcane,35,127,5.0,8
Wheat,38,60,5.2,9
Soybean,20,92,7.2,8
Soybean,33,84,6.4,7
Soybean,10,191,7.4,8
Sorghum,29,159,5.3,6
Soybean,22,249,6.8,7
Millet,20,57,5.8,6
Maize,35,103,6.5,2
Peanut,21,210,7.2,7
Maize,34,142,5.3,1
Barley,13,124,5.2,9
Wheat,35,295,6.4,8
Cotton,13,189,6.6,3
Soybean,22,73,5.2,9
Cotton,29,230,7.4,9
Rice,37,124,5.3,1
Millet,34,178,5.7,2
Sorghum,23,99,6.2,2
Cotton,38,261,6.4,4
Sugarcane,12,291,5.7,6
Wheat,27,290,6.2,1
Sugarcane,39,211,6.4,2
Sugarcane,31,278,5.0,3
Millet,30,113,5.1,5
Wheat,28,240,6.4,4
Peanut,17,88,7.3,6
Maize,22,290,6.4,7
Millet,14,203,5.8,9
Peanut,10,214,7.4,9
Rice,14,83,6.7,8
Rice,39,223,7.2,4
Sorghum,32,168,6.2,8
Peanut,18,199,5.2,2
Wheat,29,210,5.3,4
Sugarcane,36,58,5.7,4
Sorghum,16,168,5.8,5
Rice,35,127,6.3,8
Rice,33,259,7.4,8
Soybean,17,250,6.6,4
Cotton,10,286,5.1,2
Maize,31,258,6.2,3
Cotton,35,90,6.1,6
Barley,30,286,7.3,2
Rice,20,240,5.1,9
Wheat,23,189,5.0,9
Cotton,10,230,5.7,5
Wheat,28,103,5.9,7
Sugarcane,22,209,5.0,8
Wheat,20,265,6.2,1
Barley,30,110,5.0,7
Soybean,25,229,7.1,2
Millet,38,249,6.4,3
Sorghum,26,203,5.3,8
Sorghum,37,170,6.1,9
Sugarcane,35,230,7.0,3
Maize,20,115,5.5,3
Sugarcane,32,211,6.2,8
Sorghum,10,243,5.5,5
Barley,24,99,5.6,8
Wheat,38,183,5.3,7
Sugarcane,23,163,6.3,1
Millet,11,64,6.3,7
Peanut,14,61,6.6,9
Maize,36,239,5.9,5
Sorghum,10,180,5.7,3
Barley,37,168,5.7,4
Millet,28,241,5.7,4
Soybean,26,231,5.0,2
Sorghum,18,242,5.9,7
Soybean,33,130,5.5,1
Soybean,29,268,5.8,9
Soybean,33,246,7.3,4
Rice,25,253,6.8,2
Millet,10,133,6.9,6
Peanut,12,81,7.3,3
Sugarcane,33,276,6.0,2
Wheat,24,66,7.1,4
Cotton,21,292,6.0,2
Cotton,11,163,6.2,9
Sorghum,29,241,5.3,3
Rice,14,143,6.8,5
Millet,16,212,6.0,9
Soybean,21,157,6.8,4
Soybean,19,121,6.4,9
Rice,31,189,5.5,6
Peanut,33,200,6.1,8
Rice,35,71,7.4,8
Cotton,14,165,5.8,9
Maize,38,142,6.4,2
Sorghum,27,188,6.5,3
Maize,39,50,6.8,8
Wheat,32,256,7.3,3
Rice,37,143,6.9,8
Millet,34,255,6.0,9
Wheat,28,297,5.2,5
Wheat,38,144,5.4,6
Rice,22,186,6.5,7
Millet,15,123,6.0,8
Soybean,28,101,5.9,4
Soybean,25,166,5.7,4
Sugarcane,18,51,5.6,2
Cotton,16,86,6.3,8
Millet,15,198,7.1,9
Soybean,36,256,7.3,5
Cotton,28,114,6.7,3
Maize,39,99,6.6,8
Wheat,19,275,7.1,7
Barley,34,292,7.4,6
Cotton,36,277,5.0,1
Peanut,10,292,6.9,4
Millet,32,165,5.0,5
Cotton,36,227,7.4,5
Wheat,13,82,6.0,2
Maize,29,218,5.8,3
Sugarcane,28,117,6.6,4
Maize,26,102,7.3,4
Millet,38,289,5.5,3
Soybean,11,152,7.3,1
Peanut,35,82,6.3,7
Barley,34,235,7.4,8
Millet,23,219,6.1,9
Peanut,15,224,5.6,6
Millet,37,139,6.6,5
Rice,25,103,5.4,8
Sorghum,11,225,5.5,3
Soybean,10,132,6.3,6
Barley,26,207,5.0,6
Barley,24,232,5.3,7
Sugarcane,13,271,6.6,3
Cotton,38,162,5.7,9
Soybean,17,229,5.3,1
Maize,24,242,6.5,8
Maize,35,124,5.6,7
Maize,18,94,7.0,3
Wheat,20,263,5.2,6
Sorghum,25,229,6.7,7
Sorghum,34,217,5.9,1
Sugarcane,27,287,6.5,3
Rice,19,138,6.9,8
Rice,23,149,5.2,6
Peanut,33,258,5.3,1
Rice,38,171,5.8,9
Maize,27,179,7.4,4
Cotton,19,71,6.9,6
Soybean,37,157,7.0,2
Maize,29,95,7.2,2
Millet,31,249,7.2,9
Peanut,11,289,5.9,3
Peanut,13,167,6.6,3
Maize,20,104,7.4,5
Peanut,17,280,5.8,1
Millet,34,159,7.0,9
Barley,27,224,7.0,9
Peanut,38,285,5.6,6
Wheat,24,154,6.8,8
Sugarcane,27,293,6.9,8
Soybean,21,184,6.2,4
Rice,20,163,6.7,9
Sugarcane,30,57,5.8,3
Rice,28,107,6.7,7
Rice,24,197,5.3,1
Sorghum,32,127,6.2,1
Cotton,19,115,5.0,7
Rice,11,270,6.1,6
Sugarcane,16,185,5.9,9
Millet,17,275,5.8,5
Sorghum,32,271,5.3,6
Barley,12,181,5.3,4
Maize,37,143,5.7,9
Barley,10,196,6.4,7
Peanut,15,53,6.0,5
Wheat,27,265,7.2,1
Sorghum,17,130,5.2,8
Sorghum,20,289,5.2,1
Rice,24,205,6.0,2
Barley,20,110,6.2,1
Millet,32,274,7.4,7
Cotton,13,257,6.7,9
Sorghum,20,236,5.4,2
Maize,22,115,6.1,1
Maize,26,184,6.2,2
Barley,31,244,6.3,1
Rice,25,253,5.4,2
Soybean,19,187,7.5,9
Cotton,20,59,6.6,6
Barley,16,246,5.0,3
Rice,21,106,5.7,8
Sorghum,12,70,6.5,6
Peanut,12,143,6.1,8
Cotton,19,131,7.1,6
Wheat,24,299,6.4,8
Cotton,27,189,5.6,8
Cotton,16,222,6.5,9
Peanut,36,238,6.3,2
Sorghum,28,83,5.5,9
Sugarcane,27,101,5.1,2
Soybean,14,57,7.2,4
Maize,18,261,5.6,4
Maize,20,169,7.2,5
Millet,19,265,5.2,1
Sugarcane,31,139,6.7,7
Millet,33,256,6.3,7
Wheat,24,97,6.2,5
Rice,37,193,5.4,2
Peanut,23,205,7.4,9
Millet,31,160,7.4,3
Sorghum,31,281,5.6,5
Peanut,28,268,6.8,2
Wheat,11,274,5.2,5
Rice,31,124,5.8,9
Wheat,24,184,5.9,4
Peanut,23,70,5.0,4
Cotton,36,230,5.4,2
Sugarcane,25,250,5.5,7
Sugarcane,28,232,6.9,3
Barley,10,137,7.4,7
Millet,33,242,6.6,8
Cotton,32,81,5.8,8
Soybean,21,201,5.9,9
Sorghum,18,83,6.0,7
Barley,28,110,6.7,3
Sugarcane,39,246,5.1,6
Sugarcane,22,188,5.5,8
Barley,21,149,7.4,7
Wheat,14,140,7.4,1
Barley,19,134,7.2,7
Sugarcane,19,101,7.3,6
Soybean,17,240,7.3,5
Millet,28,57,5.4,6
Wheat,28,207,6.8,3
Wheat,21,193,6.5,2
Barley,17,217,6.2,7
Sorghum,39,229,6.6,2
Sorghum,34,108,5.9,8
Millet,20,63,5.1,4
Sorghum,39,153,6.2,7
Millet,28,158,5.6,6
Millet,29,269,5.7,4
Rice,11,106,5.3,2
Maize,36,105,6.9,3
Wheat,33,137,5.8,2
Sorghum,18,233,5.2,3
Wheat,26,117,6.8,9
Barley,24,274,7.2,2
Barley,22,83,5.5,8
Soybean,13,265,5.5,6
Wheat,24,186,5.7,3
Maize,13,136,5.5,6
Cotton,29,148,7.3,2
Maize,34,217,7.4,6
Sugarcane,20,148,5.9,4
Barley,29,173,7.0,9
Sugarcane,10,270,5.1,7
Barley,36,99,6.6,1
Maize,28,232,5.1,1
Peanut,12,155,5.6,4
Peanut,13,106,6.8,5
Barley,18,152,7.4,5
Peanut,36,218,5.3,8
Sugarcane,22,290,5.5,5
Cotton,30,93,5.5,1
Cotton,24,66,5.1,3
Millet,21,148,5.4,2
Barley,35,232,6.1,3
Millet,31,154,5.5,5
Peanut,22,287,5.8,8
Soybean,34,50,7.4,7
Barley,17,243,5.2,9
Cotton,30,162,5.5,8
Soybean,30,55,6.2,4
Barley,27,264,5.9,7
Peanut,38,85,5.9,2
Barley,19,100,6.4,6
Peanut,17,234,6.2,5
Rice,29,65,5.0,5
Peanut,26,219,5.3,9
Barley,27,95,5.5,6
Millet,15,230,5.8,5
Rice,29,65,5.8,5
Barley,21,281,5.4,2
Sugarcane,14,198,5.7,2
Wheat,15,294,5.9,6
Peanut,39,182,5.8,7
Soybean,32,110,5.8,3
Millet,32,296,7.0,9
Peanut,37,189,5.4,3
Maize,27,217,5.5,1
Millet,26,136,6.9,5
Rice,12,268,7.4,5
Rice,33,96,5.6,5
Maize,31,238,5.4,2
Rice,15,54,6.4,6
Wheat,33,113,5.7,5
Sorghum,38,86,7.4,3
Peanut,25,247,5.5,8
Cotton,21,192,6.8,4
Wheat,13,104,7.4,9
Maize,38,289,6.1,1
Maize,13,129,5.2,5
Maize,24,183,6.7,8
Cotton,26,111,6.1,6
Sorghum,24,70,7.0,6
Rice,37,194,5.2,2
Peanut,15,110,6.3,6
Soybean,37,272,7.4,8
Sorghum,24,221,5.6,7
Cotton,11,278,6.7,8
Rice,36,91,6.4,9
Maize,19,264,7.0,5
Millet,23,93,6.7,9
Wheat,14,193,5.1,7
Millet,11,208,5.2,4
Sugarcane,23,201,6.0,4
Maize,21,128,7.1,6
Peanut,28,85,7.4,1
Wheat,23,62,7.3,6
Barley,18,157,6.2,6
Barley,34,142,7.5,2
Maize,37,94,5.9,8
Sugarcane,12,266,7.1,2
Soybean,27,251,6.5,9
Rice,13,156,6.6,1
Soybean,33,250,6.7,3
Sugarcane,18,200,7.5,7
Maize,11,181,7.5,2
Rice,14,165,6.9,8
Soybean,17,269,5.3,7
Sorghum,34,96,6.1,1
Sorghum,18,259,7.2,5
Rice,11,155,5.8,4
Maize,22,93,5.4,1
Wheat,13,218,7.2,7
Sorghum,36,56,6.3,9
Cotton,21,241,5.3,7
Millet,16,138,6.4,2
Rice,28,151,5.9,9
Wheat,26,143,6.8,1
Sorghum,23,269,5.5,7
Barley,37,60,6.6,9
Millet,38,235,5.1,6
Barley,29,187,7.2,1
Maize,22,232,6.1,6
Sugarcane,14,242,7.4,3
Maize,34,84,6.5,9
Sorghum,34,296,6.2,6
Sorghum,24,137,5.8,1
Sugarcane,15,95,6.1,4
Rice,35,156,6.6,5
Sugarcane,26,237,6.5,8
Peanut,34,294,5.8,3
Maize,32,169,5.0,7
Sugarcane,13,184,6.5,9
Soybean,29,168,7.1,7
Barley,26,277,5.2,4
Wheat,22,134,7.0,7
Rice,31,159,6.4,7
Soybean,22,80,7.0,1
Millet,24,218,6.7,2
Maize,12,133,5.3,2
Peanut,32,67,5.0,7
Cotton,33,55,6.8,1
Soybean,14,143,5.4,7
Soybean,39,180,6.4,6
Maize,17,183,5.6,4
Rice,37,257,5.4,9
Cotton,20,280,5.4,5
Sorghum,29,102,5.9,3
Barley,20,227,7.3,9
Rice,37,240,6.4,1
Cotton,39,227,7.5,6
Sugarcane,16,152,6.3,1
Sorghum,22,229,6.4,7
Millet,19,180,7.3,3
Soybean,36,79,6.3,8
Sorghum,27,221,5.6,8
Sugarcane,20,250,5.7,6
Rice,22,229,5.9,5
Soybean,23,53,7.3,1
Cotton,31,108,6.2,5
